year,temp
2023,-54.27
2022,-54.13
2021,-54.41
2020,-54.03
2019,-54.21
2018,-54.17
2017,-54.19
2016,-54.41
2015,-54.66
2014,-54.36
2013,-54.07
2012,-54.44
2011,-54.09
2010,-54.36
2009,-54.02
2008,-54.29
2007,-53.91
2006,-54.13
2005,-54.17
2004,-54.39
2003,-54.31
2002,-54.05
2001,-54.33
2000,-54.43
1999,-54.53
1998,-54.42
1997,-54.47
1996,-54.1
1995,-54.39
1994,-54.56
1993,-54.54
1992,-54.14
1991,-53.96
1990,-54.29
1989,-54.43
1988,-54.06
1987,-54.47
1986,-54.39
1985,-54.27
1984,-54.23
1983,-54.16
1982,-54.56
1981,-54.06
1980,-53.84
1979,-54.63
1978,-54.46
1977,-54.21
1976,-54.63
1975,-54.3
1974,-54.35
1973,-54.24
1972,-54.04
1971,-54.25
1970,-54.37
1969,-54.5
1968,-54.5
1967,-54.28
1966,-54.45
1965,-54.47
1964,-54.73
1963,-54.66
1962,-54.96
1961,-54.33
1960,-55.02
1959,-54.64
1958,-54.64
1957,-54.32
1956,-54.42
1955,-54.43
1954,-54.85
1953,-54.85
1952,-54.61
1951,-54.69
1950,-54.39
1949,-54.42
1948,-54.53
1947,-54.48
1946,-54.59
1945,-54.48
1944,-54.61
1943,-54.8
1942,-54.58
1941,-54.43
1940,-54.69
1939,-54.3
1938,-54.53
1937,-54.75
1936,-54.5
1935,-54.64
1934,-54.59
1933,-54.71
1932,-54.77
1931,-54.66
1930,-54.72
1929,-54.68
1928,-54.58
1927,-54.48
1926,-54.58
1925,-54.86
1924,-54.69
1923,-54.72
1922,-54.58
1921,-54.56
1920,-54.76
1919,-54.66
1918,-54.59
1917,-54.54
1916,-54.3
1915,-54.42
1914,-54.55
1913,-54.49
1912,-54.51
1911,-54.63
1910,-54.53
1909,-54.46
1908,-54.84
1907,-54.43
1906,-54.38
1905,-54.64
1904,-54.68
1903,-54.57
1902,-54.38
1901,-54.55
1900,-54.56
1899,-54.41
1898,-54.38
1897,-54.47
1896,-54.61
1895,-54.67
1894,-54.77
1893,-54.56
1892,-54.5
1891,-54.66
1890,-54.42
1889,-54.43
1888,-54.42
1887,-54.6
1886,-54.48
1885,-54.57
1884,-54.47
1883,-54.44
1882,-54.45
1881,-54.54
1880,-54.45
1879,-54.41
1878,-54.26
1877,-54.52
1876,-54.42
1875,-54.43
1874,-54.53
1873,-54.58
1872,-54.5
1871,-54.49
1870,-54.47
1869,-54.45
1868,-54.47
1867,-54.53
1866,-54.5
1865,-54.53
1864,-54.59
1863,-54.52
1862,-54.5
1861,-54.51
1860,-54.49
1859,-54.52
1858,-54.45
1857,-54.57
1856,-54.51
1855,-54.45
1854,-54.53
1853,-54.54
1852,-54.54
